"Iteracao";"grad_m";"grad_b"
1027;-0.203550;3.419396
1028;-0.203530;3.419070
1029;-0.203511;3.418745
1030;-0.203492;3.418420
1031;-0.203472;3.418095
1032;-0.203453;3.417770
1033;-0.203434;3.417445
1034;-0.203414;3.417120
1035;-0.203395;3.416795
1036;-0.203375;3.416470
1037;-0.203356;3.416145
1038;-0.203337;3.415820
1039;-0.203317;3.415495
1040;-0.203298;3.415170
1041;-0.203279;3.414846
1042;-0.203259;3.414521
1043;-0.203240;3.414196
1044;-0.203221;3.413871
1045;-0.203201;3.413547
1046;-0.203182;3.413222
1047;-0.203163;3.412897
1048;-0.203143;3.412573
1049;-0.203124;3.412248
1050;-0.203105;3.411924
1051;-0.203086;3.411599
1052;-0.203066;3.411275
1053;-0.203047;3.410950
1054;-0.203028;3.410626
1055;-0.203008;3.410302
1056;-0.202989;3.409977
1057;-0.202970;3.409653
1058;-0.202950;3.409329
1059;-0.202931;3.409004
1060;-0.202912;3.408680
1061;-0.202892;3.408356
1062;-0.202873;3.408032
